59,GARUT,NULL,system,NULL,NULL
6,BALARAJA,NULL,system,NULL,NULL
60,GENTENG,NULL,system,NULL,NULL
61,GORONTALO,NULL,system,NULL,NULL
62,GOWA,NULL,system,NULL,NULL
63,GRESIK,NULL,system,NULL,NULL
64,JAKARTA,NULL,system,NULL,NULL
65,JAKARTA - BARAT,NULL,system,NULL,NULL
66,JAKARTA - PUSAT,NULL,system,NULL,NULL
67,"JAKARTA - SELATAN ",NULL,system,NULL,NULL
68,JAKARTA - TIMUR,NULL,system,NULL,NULL
69,JAKARTA - UTARA,NULL,system,NULL,NULL
7,BALIKPAPAN,NULL,system,NULL,NULL
70,JAMBI,NULL,system,NULL,NULL
71,JAYAPURA,NULL,system,NULL,NULL
72,JAYAPURA - ABEPURA,NULL,system,NULL,NULL
73,JAYAPURA - SENTANI,NULL,system,NULL,NULL
74,JEMBER,NULL,system,NULL,NULL
75,JEPARA,NULL,system,NULL,NULL
76,JOMBANG,NULL,system,NULL,NULL
77,JUWANA,NULL,system,NULL,NULL
78,KAMPIT,NULL,system,NULL,NULL
79,KARAWANG,NULL,system,NULL,NULL
8,BANDUNG,NULL,system,NULL,NULL
80,KEBUMEN,NULL,system,NULL,NULL
81,KEDIRI,NULL,system,NULL,NULL
82,KENDARI,NULL,system,NULL,NULL
83,KENDARI-KOLAKA,NULL,system,NULL,NULL
84,KEPANJEN,NULL,system,NULL,NULL
85,KERTOSONO,NULL,system,NULL,NULL
86,KOLAKA,NULL,system,NULL,NULL
87,KOTABUMI,NULL,system,NULL,NULL
88,KOTAMOBAGO,NULL,system,NULL,NULL
89,KOTARAYA,NULL,system,NULL,NULL
9,BANGKALAN,NULL,system,NULL,NULL
90,KRIAN,NULL,system,NULL,NULL
91,KUDUS,NULL,system,NULL,NULL
92,KUNINGAN,NULL,system,NULL,NULL
93,KUPANG,NULL,system,NULL,NULL
94,LABUAN,NULL,system,NULL,NULL
95,LAMONGAN,NULL,system,NULL,NULL
96,LAMPUNG,NULL,system,NULL,NULL
97,"LAMPUNG - CABANG ",NULL,system,NULL,NULL
99,LEUWILIANG,NULL,system,NULL,NULL
