NO.,MODEL,Harga karton box
,CV-P09GRV,199000
,SJ-P570NLV-BK,377000
,SJ-P571NLV-SL,377000
,SJ-19MKII-TB,66500
,SJ-G175T-UP,73500
,SJ-K210T-ZS,73500
,SJ-M161T-TS,92500
,ES-F886S-B,172500
,ES-TM14P-Y,121500
,SJ-BW30P-BK,172500
,SJ-P571NLV-BK,377000
,CBOX-B805UBO,84500
,CBOX-BFM1001UW,112000
,KS-R18MS-BR,66500
,KS-TH18-RD,66500
,AU-A5SSY,56000
,AU-A7SSY,56000
,AU-A9SSY2,56000
,LC-32LE348I,40500
,AU-X9SEY,56000
,AU-A5SHL,56000
,AH-AP5SHL,48500
,AH-XP13SHY,48500
,AU-X13SHY,56000
,AH-XP6SHY,48500
,AU-X6SHY,56000
,AH-A7SEY,56000
,ES-T86CA-BK,148500
,AH-AP9SSY,48500
,AH-AP9SSY2,48500
,AH-AP7SHL,48500
,AH-A5SCY,121500
,AH-A18MEY,172500
,AH-A7PEY2,48500
,AH-AP18MHL,172500
,AH-AP12RHL,40500
,SJ-G173T-ZS,73500
,FR-189BCL,102500
,AU-A9SCY,84500
,AU-A7SCY,84500
,LC-50UE1M,121500
,AH-A9SCY,84500
,SJ-315MD-FP,84500
,ES-T89DA-VK,73500
,SJ-315GC-SP,84500
,LC-55LE460X,132000
,AU-A12MSY,172500
,AU-A9SEY,56000
,AU-A9SEY2,56000
,AU-A7SEY,56000
,AU-A12SEY,92500
,AH-A9SSY,48500
,AH-AP5SSY,48500
,ES-Q75EY-G,79500
,ES-FL1280J,121500
,R-678IN(S),73500
,KS-R19ST,66500
,KS-TH18-GR,66500
,KC-A50Y-W,66500
,CBOX-WF2150,73500
,CBOX-RA2150B,79500
,LC-40LE360D2,132000
,CBOX-RA400BO,84500
,AU-A7NSY,56000
,AU-A12PEY,73500
,KS-TH18-WH,66500
,FU-A80Y-N,132000
,AH-A7SCY,84500
,AU-A18SEY,84500
,KC-A40Y-W,59000
,LC-50LE275X,132000
,ES-T88DA-RK,73500
,AU-A9SHL,56000
,AH-A7NSY,73500
,SJ-M165F-FW,73500
,SJ-M165F-SS,73500
,ES-G865P-G,112000
,AU-A12SHL,132000
,SB-TI181P,132000
,LC-40LE660X,121500
,LC-50LE860M,282500
,R-728(S)IN,132000
