88,Z3D003,P17,AD 1604 JP,,2018-11-21 10:12:21.390,99mis,NULL,NULL,,,,3D1717,1
89,Z3D026,P17,AD 1301 LP,,2018-11-21 10:12:49.013,99mis,NULL,NULL,,,,3D1717,1
90,Z3D001,P20,DK 8382 J,,2018-11-21 10:17:16.047,99mis,NULL,NULL,,,,3D2020,1
91,Z3D001,P20,DK 8384 J,,2018-11-21 10:17:37.737,99mis,NULL,NULL,,,,3D2020,1
93,Z3D002,P20,DK 8667 J,,2018-11-21 10:18:16.187,99mis,NULL,NULL,,,,3D2020,1
94,Z3D002,P20,DK 8669 J,,2018-11-21 10:18:36.517,99mis,NULL,NULL,,,,3D2020,1
95,Z3D002,P20,DK 8670 J,,2018-11-21 10:19:07.097,99mis,NULL,NULL,,,,3D2020,1
96,Z3D001,P20,DK 9768 BB,,2018-11-21 10:19:28.440,99mis,NULL,NULL,,,,3D2020,1
97,Z3D001,P20,DK 9778 BV,,2018-11-21 10:19:49.227,99mis,NULL,NULL,,,,3D2020,1
98,Z3D001,P20,DK 9794 DU,,2018-11-21 10:20:07.570,99mis,NULL,NULL,,,,3D2020,1
99,Z3D001,P20,DK 9838 BC,,2018-11-21 10:20:29.160,99mis,NULL,NULL,,,,3D2020,1
100,Z3D003,T15,B 9153 KRV,,2018-11-21 10:22:53.200,99mis,NULL,NULL,,,,3D1515,1
101,Z3D003,T15,B 9696 UCN,,2018-11-21 10:23:14.450,99mis,NULL,NULL,,,,3D1515,1
102,Z3D003,T15,B 9850 UCN,,2018-11-21 10:23:37.920,99mis,NULL,NULL,,,,3D1515,1
103,Z3D003,T15,B 9854 UCN,,2018-11-21 10:24:01.667,99mis,NULL,NULL,,,,3D1515,1
104,Z3D003,T15,B 9972 UXS,,2018-11-21 10:24:23.653,99mis,NULL,NULL,,,,3D1515,1
105,Z3D011,T15,E 8557 YH,,2018-11-21 10:25:02.887,99mis,NULL,NULL,,,,3D1515,1
106,Z3D011,T15,G 1364 ME,,2018-11-21 10:26:04.283,99mis,NULL,NULL,,,,3D1515,1
107,Z3D011,T15,G 1417 ME,,2018-11-21 10:26:24.753,99mis,NULL,NULL,,,,3D1515,1
108,Z3D011,T15,G 1431 WE,,2018-11-21 10:26:47.677,99mis,NULL,NULL,,,,3D1515,1
109,Z3D011,T15,G 1432 WE,,2018-11-21 10:27:09.473,99mis,NULL,NULL,,,,3D1515,1
110,Z3D005,T15,G 1750 DE,,2018-11-21 10:27:33.303,99mis,NULL,NULL,,,,3D1515,1
111,Z3D005,T15,G 1752 AE,,2018-11-21 10:28:01.690,99mis,NULL,NULL,,,,3D1515,1
112,Z3D011,T15,G 1754 AE,,2018-11-21 10:28:23.097,99mis,NULL,NULL,,,,3D1515,1
113,Z3D011,T15,G 1765 NE,,2018-11-21 10:28:44.800,99mis,NULL,NULL,,,,3D1515,1
114,Z3D005,T15,G 1770 BE,,2018-11-21 10:29:05.817,99mis,NULL,NULL,,,,3D1515,1
115,Z3D011,T15,G 1776 E,,2018-11-21 10:29:31.350,99mis,NULL,NULL,,,,3D1515,1
116,Z3D011,T15,G 1846 BE,,2018-11-21 10:29:56.990,99mis,NULL,NULL,,,,3D1515,1
117,Z3D011,T15,G 1850 BE,,2018-11-21 10:30:17.663,99mis,NULL,NULL,,,,3D1515,1
118,Z3D005,T15,G 1864 EE,,2018-11-21 10:30:38.523,99mis,NULL,NULL,,,,3D1515,1
119,Z3D011,T15,G 1865 EE,,2018-11-21 10:31:03.773,99mis,NULL,NULL,,,,3D1515,1
120,Z3D005,T15,G 1866 EE,,2018-11-21 10:31:28.523,99mis,NULL,NULL,,,,3D1515,1
121,Z3D005,T15,G 1867 EE,,2018-11-21 10:31:52.023,99mis,NULL,NULL,,,,3D1515,1
122,Z3D011,T15,G 1868 EE,,2018-11-21 10:32:16.730,99mis,NULL,NULL,,,,3D1515,1
123,Z3D005,T15,G 1877 EE,,2018-11-21 10:32:36.683,99mis,NULL,NULL,,,,3D1515,1
124,Z3D011,T15,G 1879 EE,,2018-11-21 10:33:10.560,99mis,NULL,NULL,,,,3D1515,1
125,Z3D005,T15,G 1880 EE,,2018-11-21 10:33:34.137,99mis,NULL,NULL,,,,3D1515,1
126,Z3D005,T15,G 1882 EE,,2018-11-21 10:34:02.137,99mis,NULL,NULL,,,,3D1515,1
127,Z3D005,T15,G 1883 EE,,2018-11-21 10:34:25.497,99mis,NULL,NULL,,,,3D1515,1
128,Z3D005,T15,G 1885 EE,,2018-11-21 10:34:57.030,99mis,NULL,NULL,,,,3D1515,1
129,Z3D005,T15,G 1887 AE,,2018-11-21 10:35:16.217,99mis,NULL,NULL,,,,3D1515,1
130,Z3D011,T15,G 1925 AE,,2018-11-21 10:35:40.343,99mis,NULL,NULL,,,,3D1515,1
131,Z3D011,T15,G 1926 AE,,2018-11-21 10:36:06.390,99mis,NULL,NULL,,,,3D1515,1
132,Z3D011,T15,G 1942 KE,,2018-11-21 10:36:27.140,99mis,NULL,NULL,,,,3D1515,1
133,Z3D003,T15,H 1322 MY,,2018-11-21 10:37:02.267,99mis,NULL,NULL,,,,3D1515,1
134,Z3D003,T15,H 1323 MY,,2018-11-21 10:37:25.690,99mis,NULL,NULL,,,,3D1515,1
135,Z3D005,T15,H 1419 AF,,2018-11-21 10:37:49.910,99mis,NULL,NULL,,,,3D1515,1
136,Z3D011,T15,H 1420 AF,,2018-11-21 10:38:14.227,99mis,NULL,NULL,,,,3D1515,1
137,Z3D011,T15,H 1421 FA,,2018-11-21 10:38:40.477,99mis,2018-11-21 10:38:58.273,99mis,,,,3D1515,1
138,Z3D011,T15,H 1422 AE,,2018-11-21 10:39:23.150,99mis,NULL,NULL,,,,3D1515,1
139,Z3D011,T15,H 1422 FA,,2018-11-21 10:39:46.330,99mis,NULL,NULL,,,,3D1515,1
140,Z3D003,T15,H 1423 FF,,2018-11-21 10:40:40.443,99mis,NULL,NULL,,,,3D1515,1
141,Z3D005,T15,H 1427 AF,,2018-11-21 10:41:08.770,99mis,NULL,NULL,,,,3D1515,1
142,Z3D011,T15,H 1437 AF,,2018-11-21 10:41:31.940,99mis,NULL,NULL,,,,3D1515,1
143,Z3D003,T15,H 1456 AF,,2018-11-21 10:41:54.037,99mis,NULL,NULL,,,,3D1515,1
144,Z3D005,T15,H 1519 AF,,2018-11-21 10:42:13.520,99mis,NULL,NULL,,,,3D1515,1
145,Z3D005,T15,H 1520 AF,,2018-11-21 10:42:34.690,99mis,NULL,NULL,,,,3D1515,1
146,Z3D011,T15,H 1521 AF,,2018-11-21 10:42:55.647,99mis,NULL,NULL,,,,3D1515,1
147,Z3D011,T15,H 1554 EA,,2018-11-21 10:43:21.880,99mis,NULL,NULL,,,,3D1515,1
148,Z3D005,T15,H 1625 EA,,2018-11-21 10:43:41.397,99mis,NULL,NULL,,,,3D1515,1
149,Z3D011,T15,H 1650 EA,,2018-11-21 10:43:58.737,99mis,NULL,NULL,,,,3D1515,1
150,Z3D011,T15,H 1680 BP,,2018-11-21 10:44:16.673,99mis,NULL,NULL,,,,3D1515,1
151,Z3D011,T15,H 1681 BP,,2018-11-21 10:44:42.970,99mis,NULL,NULL,,,,3D1515,1
152,Z3D005,T15,H 1685 EA,,2018-11-21 10:45:09.580,99mis,NULL,NULL,,,,3D1515,1
153,Z3D005,T15,H 1686 EA,,2018-11-21 10:45:28.050,99mis,NULL,NULL,,,,3D1515,1
154,Z3D011,T15,H 1688 BP,,2018-11-21 10:45:46.470,99mis,NULL,NULL,,,,3D1515,1
155,Z3D005,T15,H 1701 BP,,2018-11-21 10:46:10.817,99mis,NULL,NULL,,,,3D1515,1
156,Z3D005,T15,H 1703 BP,,2018-11-21 10:46:37.783,99mis,NULL,NULL,,,,3D1515,1
157,Z3D011,T15,H 1714 BP,,2018-11-21 10:47:00.347,99mis,NULL,NULL,,,,3D1515,1
158,Z3D011,T15,H 1715 BP,,2018-11-21 10:47:28.787,99mis,NULL,NULL,,,,3D1515,1
159,Z3D001,T15,H 1729 UQ,,2018-11-21 10:47:52.300,99mis,NULL,NULL,,,,3D1515,1
160,Z3D005,T15,H 1739 EA,,2018-11-21 10:48:13.893,99mis,NULL,NULL,,,,3D1515,1
161,Z3D011,T15,H 1771 EH,,2018-11-21 10:48:36.910,99mis,NULL,NULL,,,,3D1515,1
