55,Z3D005,TLG,G 1411 ME,NULL,2017-02-24 18:40:29.753,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
56,Z3D005,TLG,G 1412 ME,NULL,2017-02-24 18:40:29.833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
57,Z3D005,TLG,B 9729 NJ,NULL,2017-02-24 18:40:29.910,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
58,Z3D005,TLG,B 9297 KEU,NULL,2017-02-24 18:40:29.993,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
59,Z3D005,TLG,G 1417 ME,NULL,2017-02-24 18:40:30.073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
60,Z3D005,TLG,H 1815 FH,NULL,2017-02-24 18:40:30.153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
61,Z3D005,TLG,H 1964 EY,NULL,2017-02-24 18:40:30.227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
62,Z3D005,TLG,G 1882 EE,NULL,2017-02-24 18:40:30.300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
63,Z3D005,TLG,G 1883 EE,NULL,2017-02-24 18:40:30.380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
64,Z3D005,TLG,G 1885 EE,NULL,2017-02-24 18:40:30.463,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
65,Z3D005,TLG,G 1867 EE,NULL,2017-02-24 18:40:30.543,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
66,Z3D005,TLG,G 1877 EE,NULL,2017-02-24 18:40:30.630,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
67,Z3D005,TLG,G 1887 AE,NULL,2017-02-24 18:40:30.710,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
68,Z3D005,TLG,G 1866 EE,NULL,2017-02-24 18:40:30.790,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
69,Z3D005,TLG,G 1868 EE,NULL,2017-02-24 18:40:30.873,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
70,Z3D005,TLG,G 1880 EE,NULL,2017-02-24 18:40:30.950,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
71,Z3D005,TLG,G 1864 EE,NULL,2017-02-24 18:40:31.033,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
